run_id,stage,candidate,shape_id,category,local_rows,K,N,q,window,repetition,exit_code,case_dir,timestamp_utc
stage1_A_DEFAULT_S2_m2048k1024n2048_q8w0_rep5,A,DEFAULT,S2,comm_heavy,2048,1024,2048,8,0,5,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q8w0_rep5,2026-09-03T02:02:28Z
stage1_A_DEFAULT_S2_m2048k1024n2048_q16w0_rep1,A,DEFAULT,S2,comm_heavy,2048,1024,2048,16,0,1,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q16w0_rep1,2026-09-03T02:02:48Z
stage1_A_DEFAULT_S2_m2048k1024n2048_q16w0_rep2,A,DEFAULT,S2,comm_heavy,2048,1024,2048,16,0,2,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q16w0_rep2,2026-09-03T02:03:08Z
stage1_A_DEFAULT_S2_m2048k1024n2048_q16w0_rep3,A,DEFAULT,S2,comm_heavy,2048,1024,2048,16,0,3,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q16w0_rep3,2026-09-03T02:03:27Z
stage1_A_DEFAULT_S2_m2048k1024n2048_q16w0_rep4,A,DEFAULT,S2,comm_heavy,2048,1024,2048,16,0,4,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q16w0_rep4,2026-09-03T02:03:47Z
stage1_A_DEFAULT_S2_m2048k1024n2048_q16w0_rep5,A,DEFAULT,S2,comm_heavy,2048,1024,2048,16,0,5,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q16w0_rep5,2026-09-03T02:04:07Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q1w0_rep1,A,DEFAULT,S5,comm_heavy,4096,4096,1024,1,0,1,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q1w0_rep1,2026-09-03T02:04:29Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q1w0_rep2,A,DEFAULT,S5,comm_heavy,4096,4096,1024,1,0,2,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q1w0_rep2,2026-09-03T02:04:50Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q1w0_rep3,A,DEFAULT,S5,comm_heavy,4096,4096,1024,1,0,3,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q1w0_rep3,2026-09-03T02:05:11Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q1w0_rep4,A,DEFAULT,S5,comm_heavy,4096,4096,1024,1,0,4,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q1w0_rep4,2026-09-03T02:05:33Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q1w0_rep5,A,DEFAULT,S5,comm_heavy,4096,4096,1024,1,0,5,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q1w0_rep5,2026-09-03T02:05:54Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q2w0_rep1,A,DEFAULT,S5,comm_heavy,4096,4096,1024,2,0,1,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q2w0_rep1,2026-09-03T02:06:15Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q2w0_rep2,A,DEFAULT,S5,comm_heavy,4096,4096,1024,2,0,2,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q2w0_rep2,2026-09-03T02:06:37Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q2w0_rep3,A,DEFAULT,S5,comm_heavy,4096,4096,1024,2,0,3,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q2w0_rep3,2026-09-03T02:06:58Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q2w0_rep4,A,DEFAULT,S5,comm_heavy,4096,4096,1024,2,0,4,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q2w0_rep4,2026-09-03T02:07:19Z
