stage,candidate,shape_id,category,local_rows,K,N,q,window,repetition,strategy,status,correctness,M_global,slice_bytes,release_first_mean_us,release_last_mean_us,done_mean_us,gemm_first_mean_us,gemm_last_mean_us,e2e_mean_us,e2e_p50_us,e2e_p95_us,run_id
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,3,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,2097152,340.996479392,1467.765131,1471.76448584,346.866561472,1584.46463823,1588.40703726,1584.12802219,1682.11197853,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,4,B0_FULL_SERIAL,PASS,1,16384,2097152,640.689278841,640.689278841,699.430399537,703.114879131,1215.41440487,1219.09056544,1206.49600029,1518.36800575,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,4,B1_SLICE_SERIAL,PASS,1,16384,2097152,375.365760028,2227.15904236,2231.11744165,379.772800207,2302.50369072,2306.44096375,2302.49595642,2541.69607162,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,4,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,2097152,302.78208077,1429.82336283,1433.8252759,308.609280288,1549.6447897,1553.58463049,1497.9840517,1651.039958,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,5,B0_FULL_SERIAL,PASS,1,16384,2097152,657.284479737,657.284479737,715.929605961,719.593604803,1227.21280575,1230.86400151,924.448013306,2468.76788139,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,5,B1_SLICE_SERIAL,PASS,1,16384,2097152,1438.54335278,3290.32384396,3294.32063818,1442.96446979,3366.01151466,3369.97567177,3290.46392441,4213.9840126,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,5,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,2097152,632.59839803,1762.92223692,1766.95552349,638.567035496,1881.65760994,1885.59615612,1877.12001801,2156.76808357,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep5
A,DEFAULT,S2,comm_heavy,2048,1024,2048,1,0,1,B0_FULL_SERIAL,PASS,1,8192,33554432,924.377605319,924.377605319,928.204159737,932.009596825,3023.41633797,3027.21856594,2872.76792526,4776.54409409,stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep1
A,DEFAULT,S2,comm_heavy,2048,1024,2048,1,0,1,B1_SLICE_SERIAL,PASS,1,8192,33554432,977.957117558,977.957117558,981.91488266,985.866240263,3357.11488724,3361.06879234,3260.28800011,3964.79988098,stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep1
A,DEFAULT,S2,comm_heavy,2048,1024,2048,1,0,1,B2_SLICE_EVENT_OVERLAP,PASS,1,8192,33554432,1368.9119941,1368.9119941,1372.89727867,1376.84928477,3747.75232315,3751.71072006,3613.18397522,4245.79191208,stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep1
