strategy,iteration,rank,q,slice,t_release_us
B1_SLICE_SERIAL,1,0,8,3,14541.3122177
B1_SLICE_SERIAL,1,0,8,4,19321.9833374
B1_SLICE_SERIAL,1,0,8,5,24094.8486328
B1_SLICE_SERIAL,1,0,8,6,28882.3680878
B1_SLICE_SERIAL,1,0,8,7,33663.4864807
B1_SLICE_SERIAL,2,0,8,0,246.976003051
B1_SLICE_SERIAL,2,0,8,1,5033.37621689
B1_SLICE_SERIAL,2,0,8,2,9808.60805511
B1_SLICE_SERIAL,2,0,8,3,14595.4875946
B1_SLICE_SERIAL,2,0,8,4,19371.9673157
B1_SLICE_SERIAL,2,0,8,5,24150.0167847
B1_SLICE_SERIAL,2,0,8,6,28937.5038147
B1_SLICE_SERIAL,2,0,8,7,33718.1777954
B1_SLICE_SERIAL,3,0,8,0,202.496007085
B1_SLICE_SERIAL,3,0,8,1,4991.8718338
B1_SLICE_SERIAL,3,0,8,2,9760.54382324
B1_SLICE_SERIAL,3,0,8,3,14544.6081161
B1_SLICE_SERIAL,3,0,8,4,19323.2002258
B1_SLICE_SERIAL,3,0,8,5,24101.4404297
B1_SLICE_SERIAL,3,0,8,6,28889.9517059
B1_SLICE_SERIAL,3,0,8,7,33665.5349731
B1_SLICE_SERIAL,4,0,8,0,223.135992885
B1_SLICE_SERIAL,4,0,8,1,4998.59189987
B1_SLICE_SERIAL,4,0,8,2,9770.91217041
B1_SLICE_SERIAL,4,0,8,3,14561.6321564
B1_SLICE_SERIAL,4,0,8,4,19336.7366791
B1_SLICE_SERIAL,4,0,8,5,24109.1518402
B1_SLICE_SERIAL,4,0,8,6,28899.4560242
B1_SLICE_SERIAL,4,0,8,7,33685.4705811
B1_SLICE_SERIAL,5,0,8,0,206.655994058
B1_SLICE_SERIAL,5,0,8,1,4993.95179749
B1_SLICE_SERIAL,5,0,8,2,9763.7758255
B1_SLICE_SERIAL,5,0,8,3,14545.791626
B1_SLICE_SERIAL,5,0,8,4,19320.2877045
B1_SLICE_SERIAL,5,0,8,5,24091.6156769
B1_SLICE_SERIAL,5,0,8,6,28871.5190887
B1_SLICE_SERIAL,5,0,8,7,33657.6004028
B1_SLICE_SERIAL,6,0,8,0,228.287994862
B1_SLICE_SERIAL,6,0,8,1,5001.85585022
B1_SLICE_SERIAL,6,0,8,2,9775.4240036
B1_SLICE_SERIAL,6,0,8,3,14558.303833
B1_SLICE_SERIAL,6,0,8,4,19333.1832886
B1_SLICE_SERIAL,6,0,8,5,24105.6957245
B1_SLICE_SERIAL,6,0,8,6,28892.9271698
B1_SLICE_SERIAL,6,0,8,7,33665.88974
B1_SLICE_SERIAL,7,0,8,0,204.224005342
B1_SLICE_SERIAL,7,0,8,1,4992.47980118
B1_SLICE_SERIAL,7,0,8,2,9762.55989075
B1_SLICE_SERIAL,7,0,8,3,14549.7598648
B1_SLICE_SERIAL,7,0,8,4,19330.1448822
B1_SLICE_SERIAL,7,0,8,5,24111.5512848
B1_SLICE_SERIAL,7,0,8,6,28898.015976
B1_SLICE_SERIAL,7,0,8,7,33669.5671082
B1_SLICE_SERIAL,8,0,8,0,244.831994176
B1_SLICE_SERIAL,8,0,8,1,5032.47976303
B1_SLICE_SERIAL,8,0,8,2,9801.21612549
B1_SLICE_SERIAL,8,0,8,3,14581.4399719
B1_SLICE_SERIAL,8,0,8,4,19360.2561951
B1_SLICE_SERIAL,8,0,8,5,24135.9043121
B1_SLICE_SERIAL,8,0,8,6,28921.5679169
B1_SLICE_SERIAL,8,0,8,7,33706.6879272
B1_SLICE_SERIAL,9,0,8,0,204.671993852
B1_SLICE_SERIAL,9,0,8,1,4984.00020599
B1_SLICE_SERIAL,9,0,8,2,9753.85570526
B1_SLICE_SERIAL,9,0,8,3,14537.0883942
B1_SLICE_SERIAL,9,0,8,4,19317.9836273
B1_SLICE_SERIAL,9,0,8,5,24090.5914307
B1_SLICE_SERIAL,9,0,8,6,28867.9046631
B1_SLICE_SERIAL,9,0,8,7,33646.0494995
B1_SLICE_SERIAL,10,0,8,0,217.82399714
B1_SLICE_SERIAL,10,0,8,1,4992.89608002
B1_SLICE_SERIAL,10,0,8,2,9761.24763489
B1_SLICE_SERIAL,10,0,8,3,14548.7041473
B1_SLICE_SERIAL,10,0,8,4,19319.360733
B1_SLICE_SERIAL,10,0,8,5,24100.736618
B1_SLICE_SERIAL,10,0,8,6,28882.3032379
B1_SLICE_SERIAL,10,0,8,7,33651.1039734
B1_SLICE_SERIAL,11,0,8,0,200.128003955
B1_SLICE_SERIAL,11,0,8,1,4988.41619492
B1_SLICE_SERIAL,11,0,8,2,9758.87966156
B1_SLICE_SERIAL,11,0,8,3,14544.3840027
B1_SLICE_SERIAL,11,0,8,4,19316.7991638
B1_SLICE_SERIAL,11,0,8,5,24092.9603577
B1_SLICE_SERIAL,11,0,8,6,28880.7048798
B1_SLICE_SERIAL,11,0,8,7,33654.4647217
B1_SLICE_SERIAL,12,0,8,0,211.007997394
B1_SLICE_SERIAL,12,0,8,1,4985.08787155
B1_SLICE_SERIAL,12,0,8,2,9755.74398041
B1_SLICE_SERIAL,12,0,8,3,14544.8637009
B1_SLICE_SERIAL,12,0,8,4,19317.0871735
B1_SLICE_SERIAL,12,0,8,5,24089.9200439
B1_SLICE_SERIAL,12,0,8,6,28868.1602478
B1_SLICE_SERIAL,12,0,8,7,33649.3453979
B1_SLICE_SERIAL,13,0,8,0,205.983996391
B1_SLICE_SERIAL,13,0,8,1,4985.95190048
B1_SLICE_SERIAL,13,0,8,2,9754.01592255
B1_SLICE_SERIAL,13,0,8,3,14543.7116623
